,choice,dValue,absDValue,sumValue,zConf,zRT,zAbsDValue,zSumValue,rValue,lValue,Part,choValue,unchoValue,zChoValue,zUnchoValue
4912,1,-1.044465935734187,1.044465935734187,1.3926212476455826,0.17066802551897972,-0.6603304592807996,-0.301483928384294,1.0445572857699172,0.17407765595569785,1.2185435916898848,33,0.17407765595569785,1.2185435916898848,0.7668945787927051,0.9292199373624019
4913,1,-0.3481553119113956,0.3481553119113956,-2.088931871468374,-1.5651173172362245,2.870447568552144,-1.205915767862106,-1.5659083559240354,-1.2185435916898848,-0.8703882797784892,33,-1.2185435916898848,-0.8703882797784892,-0.7174175091931754,-1.954566075141604
4916,1,-2.43708718337977,2.43708718337977,0.6963106238227914,0.6440640280885809,-0.508356340086506,1.50737975057133,0.5224641574311267,-0.8703882797784892,1.5666989036012806,33,-0.8703882797784892,1.5666989036012806,-0.3463394871967054,1.4098509394464032
4917,0,-0.3481553119113958,0.3481553119113958,2.7852424952911656,-0.6183253120970222,1.510541226106654,-1.2059157678621055,2.0887435424474985,1.2185435916898848,1.5666989036012806,33,1.5666989036012806,1.2185435916898848,2.2512066667785855,0.9292199373624019
4919,1,-0.34815531191139565,0.34815531191139565,0.6963106238227914,-0.933922647143423,-0.6328179032197637,-1.205915767862106,0.5224641574311267,0.17407765595569785,0.5222329678670935,33,0.17407765595569785,0.5222329678670935,0.7668945787927051,-0.03204206680560001
4922,0,2.088931871468374,2.088931871468374,-0.3481553119113956,-0.7761239796202226,-0.6537798506948387,1.0551638308324236,-0.260675535077059,0.8703882797784892,-1.2185435916898848,33,-1.2185435916898848,0.8703882797784892,-0.7174175091931754,0.44858893527840105
4923,1,0.6963106238227913,0.6963106238227913,1.7407765595569784,-1.4073186497130241,2.123678189752597,-0.7536998481231999,1.3056038499393128,1.2185435916898848,0.5222329678670935,33,1.2185435916898848,0.5222329678670935,1.880128644782115,-0.03204206680560001
4925,0,1.3926212476455828,1.3926212476455828,-1.7407765595569784,1.3803526107518338,-0.8633993254455886,0.15073199135461207,-1.3048617917546401,-0.17407765595569785,-1.5666989036012806,33,-1.5666989036012806,-0.17407765595569785,-1.0884955311896456,-0.993304070973602
4927,0,0.6963106238227914,0.6963106238227914,1.044465935734187,-1.2495199821898237,0.44148190487782946,-0.7536998481231998,0.783510721600522,0.8703882797784892,0.17407765595569785,33,0.17407765595569785,0.8703882797784892,0.7668945787927051,0.44858893527840105
4928,1,-1.7407765595569784,1.7407765595569784,-0.6963106238227913,0.6440640280885809,-0.9118738289816996,0.6029479110935179,-0.5217220992464543,-1.2185435916898848,0.5222329678670935,33,-1.2185435916898848,0.5222329678670935,-0.7174175091931754,-0.03204206680560001
4930,0,2.088931871468374,2.088931871468374,1.0444659357341872,0.9596613631349816,-0.8909118815066245,1.0551638308324236,0.7835107216005223,1.5666989036012806,-0.5222329678670935,33,-0.5222329678670935,1.5666989036012806,0.024738534799764747,1.4098509394464032
4931,1,-0.3481553119113957,0.3481553119113957,-1.3926212476455828,-0.933922647143423,-0.25157248351683736,-1.2059157678621057,-1.0438152275852448,-0.8703882797784892,-0.5222329678670935,33,-0.8703882797784892,-0.5222329678670935,-0.3463394871967054,-1.4739350730576033
4933,0,0.6963106238227914,0.6963106238227914,-2.43708718337977,1.1174600306581821,-0.9616584542350026,-0.7536998481231998,-1.826954920093431,-0.8703882797784892,-1.5666989036012806,33,-1.5666989036012806,-0.8703882797784892,-1.0884955311896456,-1.954566075141604
4936,0,0.6963106238227913,0.6963106238227913,-1.7407765595569784,-1.0917213146666234,0.3602543584119139,-0.7536998481231999,-1.3048617917546401,-0.5222329678670935,-1.2185435916898848,33,-1.2185435916898848,-0.5222329678670935,-0.7174175091931754,-1.4739350730576033
4937,1,-0.3481553119113958,0.3481553119113958,-2.7852424952911656,0.4862653605653805,-0.56469157392577,-1.2059157678621055,-2.088001484262826,-1.5666989036012806,-1.2185435916898848,33,-1.5666989036012806,-1.2185435916898848,-1.0884955311896456,-2.435197077225605
4941,0,1.3926212476455828,1.3926212476455828,0.3481553119113957,0.3284666930421801,-0.5319385309959653,0.15073199135461207,0.26141759326173153,0.8703882797784892,-0.5222329678670935,33,-0.5222329678670935,0.8703882797784892,0.024738534799764747,0.44858893527840105
4942,1,-2.43708718337977,2.43708718337977,-0.6963106238227914,1.2752586981813825,-0.6393685118057246,1.50737975057133,-0.5217220992464544,-1.5666989036012806,0.8703882797784892,33,-1.5666989036012806,0.8703882797784892,-1.0884955311896456,0.44858893527840105
4943,1,-1.044465935734187,1.044465935734187,0.6963106238227914,-0.6183253120970222,0.2934381508351124,-0.301483928384294,0.5224641574311267,-0.17407765595569785,0.8703882797784892,33,-0.17407765595569785,0.8703882797784892,0.39581655679623484,0.44858893527840105
4946,1,-0.34815531191139565,0.34815531191139565,-0.6963106238227914,-0.46052664457382186,2.5573284781432113,-1.205915767862106,-0.5217220992464544,-0.5222329678670935,-0.17407765595569785,33,-0.5222329678670935,-0.17407765595569785,0.024738534799764747,-0.993304070973602
4948,0,-1.0444659357341872,1.0444659357341872,2.088931871468374,-1.5651173172362245,1.3127128468106337,-0.3014839283842937,1.5666504141087076,0.5222329678670935,1.5666989036012806,33,1.5666989036012806,0.5222329678670935,2.2512066667785855,-0.03204206680560001
5129,1,-1.7407765595569784,1.7407765595569784,-1.3926212476455828,1.4320293592953863,-0.5421450147448731,0.6029479110935179,-1.0438152275852448,-1.5666989036012806,0.17407765595569785,34,-1.5666989036012806,0.17407765595569785,-1.2317346831482539,-0.34547110224427685
5133,1,-1.7407765595569784,1.7407765595569784,0.6963106238227913,1.0473050538130428,-0.16745604358152233,0.6029479110935179,0.5224641574311267,-0.5222329678670935,1.2185435916898848,34,-0.5222329678670935,1.2185435916898848,-0.05241424183609593,0.8503904055243738
5134,1,-2.43708718337977,2.43708718337977,-0.6963106238227914,0.27785644284835564,-0.5530775841952627,1.50737975057133,-0.5217220992464544,-1.5666989036012806,0.8703882797784892,34,-1.5666989036012806,0.8703882797784892,-1.2317346831482539,0.4517699029348237
5144,0,1.3926212476455826,1.3926212476455826,1.044465935734187,-0.4915921681163315,0.995371797959911,0.1507319913546118,0.783510721600522,1.2185435916898848,-0.17407765595569785,34,-0.17407765595569785,1.2185435916898848,0.34069257193462327,0.8503904055243738
5145,0,2.088931871468374,2.088931871468374,-0.3481553119113956,-1.6457650845633622,3.6410536049541804,1.0551638308324236,-0.260675535077059,0.8703882797784892,-1.2185435916898848,34,-1.2185435916898848,0.8703882797784892,-0.8386278693775344,0.4517699029348237
5147,1,1.3926212476455828,1.3926212476455828,1.7407765595569784,-1.2610407790810185,3.0467193748330037,0.15073199135461207,1.3056038499393128,1.5666989036012806,0.17407765595569785,34,1.5666989036012806,0.17407765595569785,2.3062266407882195,-0.34547110224427685
