,LVal_bin,RVal_bin,conf
326,1,2,0.7044327135335152
327,1,2,0.5661229476619538
328,0,4,0.6395314475662561
329,5,2,0.7001910139455074
330,3,4,0.6744225727024378
331,4,3,0.7346011408759339
332,0,2,0.8384148037812067
333,4,2,0.34646516572072544
334,4,0,0.2652093106227547
335,4,2,0.6334038373681987
336,0,1,0.7876695687057125
337,1,1,0.2119493351068708
338,3,4,0.476688750988818
339,1,0,0.6565024048127532
340,0,3,0.4756861991177171
341,5,4,0.923826327758289
342,0,4,0.3432464627698293
343,4,4,0.7803018046708909
344,3,0,0.8185092383664534
345,2,0,0.3439093752152683
346,2,1,0.39272082330401564
347,4,1,0.6373029562639866
348,3,0,0.8492817472928738
349,0,2,0.5858024293885687
350,5,1,0.6656592789212057
351,1,4,0.7766849837885561
352,1,4,0.6951467691466389
353,3,3,0.8471607711424867
354,4,0,0.7284122713730313
355,2,2,0.5846959723080776
356,2,5,0.6864370240834402
357,3,1,0.8537125602790171
358,2,4,0.8099343208722104
359,3,2,0.3403369986373704
360,3,5,0.8402743058867997
361,4,5,0.3007059164897964
362,0,0,0.7377530827941772
363,1,0,0.6573273460991256
364,2,5,0.9087908517806483
365,0,1,0.7591913153391247
366,1,0,0.3487088223313896
367,0,3,0.908828403016673
368,4,3,0.8353367153438269
369,0,1,0.7188725712227734
370,4,1,0.6245846771814173
371,3,1,0.7638743066957813
372,1,4,0.8584726517251225
373,1,2,0.729867668924286
374,1,3,0.8546148544771995
375,4,0,0.9177305489567881
376,0,5,0.886787435165156
377,5,0,0.809147090543623
378,3,1,0.8017903446086824
379,1,2,0.936590235451742
380,1,5,0.6432294121252731
381,3,0,0.560109728691299
382,5,2,0.5618652085493163
383,2,4,0.7585806795829452
384,3,3,0.920160677198536
385,1,1,0.27635800981528497
386,0,4,0.8632923433828261
387,3,4,0.516830085704885
388,4,2,0.8449074038448858
389,2,2,0.41368591825686635
390,4,2,0.8659724523311867
391,0,2,0.8676497542192083
392,3,0,0.8696567890495083
393,5,1,0.7927668187515619
394,4,4,0.897529015320935
395,0,4,0.9490361418200043
396,3,4,0.7748491332673014
397,3,2,0.8262059962637209
398,5,4,0.9466301572485094
399,2,1,0.7658872141798903
400,1,4,0.787823404547935
401,4,1,0.9327400275302875
402,0,2,0.8020473721662569
403,4,0,0.9414436833198891
404,2,0,0.846583355478797
405,4,1,0.9251023800359836
406,2,5,0.7439644173777098
407,5,2,0.7664031851063818
408,2,2,0.6796499640495767
409,3,0,0.49119306796170026
410,0,2,0.5257976980179281
411,5,1,0.6791259759408402
412,0,0,0.24978090126792793
413,0,1,0.34379880058904366
414,1,1,0.36861565512226735
415,0,4,0.798965215622063
416,4,0,0.6891363035913077
417,4,0,0.8481208435874449
418,4,2,0.5286417221558036
419,3,1,0.8616030675614001
420,0,5,0.6136921026043544
421,0,4,0.9136657902794149
422,3,3,0.4336578935331617
423,4,1,0.7218206033983856
424,2,1,0.7531537466497873
425,1,5,0.5033195567120277
426,3,2,0.5549951712932508
427,1,0,0.2671105151421329
428,4,5,0.8172239895727008
