,LVal_bin,RVal_bin,conf
331,4,3,0.47046521107944983
332,0,2,0.7908658177183024
333,4,2,0.46076896868516437
334,4,0,0.5726338775264563
335,4,2,0.5604074093654241
336,0,1,0.7083952418587353
337,1,1,0.48644042104226687
338,3,4,0.5544315290071501
339,1,0,0.5980079271738665
340,0,3,0.49016552837774324
341,5,4,0.6137755878033918
342,0,4,0.49243400059124737
343,4,4,0.7324056509281957
344,3,0,0.8342295580349537
345,2,0,0.5455529549207532
346,2,1,0.5167048780812791
347,4,1,0.734589662621433
348,3,0,0.8642522445377295
349,0,2,0.8772713696760528
350,5,1,0.7640577135766502
351,1,4,0.7516186024183482
352,1,4,0.7896542714667526
353,3,3,0.5326984238253923
354,4,0,0.6672072728718773
355,2,2,0.7306360151820182
356,2,5,0.5610304948845666
357,3,1,0.6352804329209648
358,2,4,0.6899616314657356
359,3,2,0.6148031719568011
360,3,5,0.5978084377538287
361,4,5,0.4283230452059195
362,0,0,0.8641302670937918
363,1,0,0.8455692837974795
364,2,5,0.7573972233908391
365,0,1,0.8185718348018558
366,1,0,0.5222353358612855
367,0,3,0.8978246683808296
368,4,3,0.5644420200435557
369,0,1,0.8345983233328667
370,4,1,0.5538568977487612
371,3,1,0.8881914664337678
372,1,4,0.7282328573007021
373,1,2,0.6786774801952992
374,1,3,0.776226500779185
375,4,0,0.9408917112358821
376,0,5,0.8642576259079005
377,5,0,0.7869589148033623
378,3,1,0.8179521306588643
379,1,2,0.9089218329862464
380,1,5,0.9060918379699937
381,3,0,0.7091343616723286
382,5,2,0.43359447022710085
383,2,4,0.7006290145445798
384,3,3,0.7778789534274448
385,1,1,0.3239381784874898
386,0,4,0.8716746123916015
387,3,4,0.25444579320527105
388,4,2,0.570590718785429
389,2,2,0.28299378145340104
390,4,2,0.8324632465798475
391,0,2,0.7172312068140312
392,3,0,0.7172499378262949
393,5,1,0.7051954017150327
394,4,4,0.590109645491353
395,0,4,0.8091766158503759
396,3,4,0.6098696173723868
397,3,2,0.6723241587789124
398,5,4,0.595169840254543
399,2,1,0.664568807570943
400,1,4,0.7136483816280729
401,4,1,0.751230680050271
402,0,2,0.7455185453324192
403,4,0,0.8772314996296396
404,2,0,0.7231551929939
405,4,1,0.731343694916707
406,2,5,0.6982746491328957
407,5,2,0.7191704447488271
408,2,2,0.5264472594591891
409,3,0,0.34863126703470093
410,0,2,0.7871736278239265
411,5,1,0.7159232399796709
412,0,0,0.37460976145736896
413,0,1,0.36631411026914334
414,1,1,0.4253928285634696
415,0,4,0.7396338222982892
416,4,0,0.859345505778782
417,4,0,0.8330012990049294
418,4,2,0.4524132630431219
419,3,1,0.7097401030257032
420,0,5,0.8730565155747602
421,0,4,0.8590903612669503
422,3,3,0.56249857402097
423,4,1,0.7263634980977701
424,2,1,0.5958730655481634
425,1,5,0.5759667100525184
426,3,2,0.5408700663152813
427,1,0,0.5051764321651873
428,4,5,0.5726038563868848
429,1,2,0.6468799962577901
430,0,2,0.9662647521298606
431,1,0,0.6604839195015579
432,2,0,0.8549394232543942
433,5,0,0.7147377597975457
434,3,0,0.7490594129307694
435,1,4,0.6310050901006667
436,4,2,0.5584887168888044
437,3,4,0.40292721771970447
438,4,3,0.6740388572834294
439,3,1,0.49952883297852707
440,3,5,0.4745089140822566
441,0,3,0.7901947852323458
442,1,4,0.7947880960012488
443,1,2,0.7443821239232612
444,0,1,0.6117611367863071
445,2,4,0.6151222986268435
446,5,4,0.6035623242013559
447,1,3,0.7085505604872508
448,4,4,0.5512858138735186
449,3,4,0.7292469809557443
450,2,4,0.8175634436768084
451,4,5,0.5479210909734046
452,1,2,0.7813576065112342
453,2,1,0.5321323231596321
454,0,5,0.8384825256105397
455,4,1,0.7399445300833413
456,4,0,0.8007569584804216
457,3,0,0.6943104224253883
458,1,1,0.42733580639823954
459,5,1,0.7001974987671189
460,1,0,0.6222872738659869
461,3,5,0.5327657053650872
462,1,3,0.47274688444645724
463,0,4,0.6992211018058373
464,1,5,0.5042952028050444
465,4,3,0.6302177247895605
466,3,3,0.6378227055778529
467,4,4,0.6315557681541134
468,1,2,0.8713443288133467
469,4,1,0.4960688341184616
470,3,0,0.6122428880524465
471,3,1,0.7454414748490643
472,0,0,0.5332023921977741
473,0,4,0.6967977825423299
474,1,4,0.7643389987543707
475,3,1,0.565425801731158
476,0,1,0.12612030746892341
477,0,2,0.7150264778974307
478,0,2,0.6806738282462053
479,3,4,0.7203551205857526
480,4,2,0.5822444942790992
481,3,4,0.6586344486182732
482,2,5,0.7479583303930306
483,0,3,0.9084686387699827
484,2,0,0.44687974038818723
485,4,2,0.6653257574514586
486,2,2,0.7396082474463335
487,5,4,0.6083109656066539
488,5,2,0.7680188665806159
489,4,0,0.8346977597817559
490,5,0,0.7076905016603885
491,0,1,0.8089859691543813
492,1,4,0.8811257816525507
493,3,2,0.802199606108577
494,1,0,0.748856877515616
495,3,2,0.6081786660071874
